1.08E-01,9.87E-04
1.26E-01,1.70E-03
1.43E-01,2.42E-03
1.77E-01,3.13E-03
1.87E-01,3.84E-03
2.25E-01,4.56E-03
3.01E-01,5.99E-03
3.60E-01,7.41E-03
4.16E-01,8.84E-03
4.55E-01,1.03E-02
4.91E-01,1.31E-02
5.25E-01,1.60E-02
5.55E-01,1.88E-02
5.69E-01,2.17E-02
5.87E-01,2.59E-02
5.94E-01,3.02E-02
5.84E-01,3.44E-02
5.76E-01,4.87E-02
5.47E-01,6.30E-02
5.16E-01,7.73E-02
4.74E-01,9.15E-02
4.26E-01,1.06E-01
3.86E-01,1.20E-01
3.46E-01,1.34E-01
3.08E-01,1.49E-01
2.60E-01,1.63E-01
2.35E-01,1.77E-01
2.00E-01,1.92E-01
1.67E-01,2.06E-01
1.17E-01,2.34E-01
8.14E-02,2.63E-01
5.34E-02,2.92E-01
3.77E-02,3.20E-01
3.03E-02,3.49E-01
2.30E-02,3.77E-01
