[Name],,,
ke-pro,,,
,,,
[Data],,,
z,axial-velocity,turb-kinetic-energy,turb-diss-rate
0.0131844,-2.6770136,0.4680489,5373.1499
0.013058066,-7.0797858,2.5153685,8614.0811
0.012929039,-9.5066595,3.0077899,6455.7412
0.012797261,-10.864085,3.0110438,4561.1523
0.012662671,-11.758432,2.9498386,3403.3999
0.01252521,-12.408264,2.8712113,2645.7336
0.012384819,-12.912436,2.7922151,2124.0935
0.012241432,-13.321774,2.7177126,1748.7838
0.012094988,-13.665273,2.6486695,1468.6593
0.011945421,-13.960797,2.5847843,1253.1351
0.011792663,-14.220025,2.5253978,1083.0754
0.011636647,-14.450943,2.4698105,946.02417
0.011477305,-14.659206,2.4173899,833.58966
0.011314563,-14.848902,2.3676088,739.9621
0.01114835,-15.022937,2.3200831,661.08765
0.010978593,-15.183111,2.2746949,594.70081
0.010805216,-15.330489,2.231636,541.80737
0.010628141,-15.467367,2.1907685,502.82791
0.010447288,-15.597845,2.1512952,472.8479
0.010262579,-15.725268,2.1123426,447.23645
0.01007393,-15.850953,2.073422,423.8511
0.009881258,-15.975117,2.0343421,401.93356
0.009684477,-16.097715,1.995021,381.21173
0.0094835,-16.218697,1.9554033,361.55457
0.009278234,-16.33803,1.9154429,342.87244
0.009068592,-16.455681,1.8751029,325.09192
0.008854479,-16.571617,1.8343568,308.14908
0.008635799,-16.685791,1.7931883,291.98721
0.008412454,-16.798151,1.7515926,276.55588
0.008184347,-16.908632,1.7095758,261.81046
0.007951375,-17.017153,1.6671568,247.71167
0.007713433,-17.123617,1.6243689,234.22551
0.007470418,-17.227913,1.581261,221.32298
0.007222218,-17.329903,1.5379013,208.98013
0.006968726,-17.429424,1.4943786,197.17805
0.006709827,-17.526291,1.4508069,185.90291
0.006445407,-17.620289,1.4073279,175.14601
0.006175347,-17.711168,1.3641146,164.90393
0.005899527,-17.798653,1.3213738,155.17838
0.005617825,-17.882439,1.2793467,145.97595
0.005330115,-17.962196,1.2383085,137.30763
0.005036268,-18.037588,1.1985636,129.18779
0.004736154,-18.108273,1.1604366,121.63281
0.00442964,-18.173931,1.1242598,114.65925
0.004116588,-18.23428,1.0903559,108.28168
0.00379686,-18.289097,1.0590184,102.51048
0.003470313,-18.33824,1.0304929,97.349915
0.003136801,-18.381653,1.0049623,92.796944
0.002796176,-18.419373,0.98253745,88.840919
0.002448287,-18.451519,0.96325648,85.464256
0.002092977,-18.478287,0.94709194,82.64402
0.00173009,-18.499918,0.93396282,80.353966
0.001359463,-18.516685,0.92374969,78.566757
0.000980932,-18.528875,0.9163087,77.255783
0.000594328,-18.536774,0.91148126,76.395943
0.000199493,-18.540569,0.90915692,75.972488
